Player,PayRnk,pay,college,team,pos,age,games,point,ThrP,ThrPA,eFG,FreeThrow,rebound,assist
Bobby Portis,351,1516320,Long Island University,TOR,PF,22,73,19.7,1.1,3.1,0.52,0.769,6.8,1.7
Malachi Richardson,352,1504560,Georgetown University,TOR,SG,22,26,5.9,0.5,1.5,0.4,0.773,1.3,0.5
Norman Powell,353,1471382,Stanford University,CLE,SG,24,70,8.5,0.8,2.7,0.472,0.821,1.7,1.3
Josh Richardson,354,1471382,Missouri State University,BRK,SF,24,81,13.6,1.6,4.1,0.523,0.845,3.5,2.9
Rondae Hollis-Jefferson,355,1471382,Villanova University,PHI,SF,23,68,16.9,0.2,0.8,0.481,0.788,6.8,2.5
Tyus Jones,356,1471382,Bradley University,DEN,PG,21,82,14.1,0.5,1.6,0.526,0.877,1.6,2.8
Jarell Martin,357,1471382,Fordham University,DAL,PF,23,73,10.5,0.5,1.3,0.48,0.767,4.4,1
Larry Nance,358,1471382,Utah State University,NOP,C,25,66,20.2,0,0.2,0.584,0.664,6.8,1.2
Troy Williams,359,1471382,Niagara University,MIN,SF,23,21,15.1,0.5,1.8,0.518,0.667,3,0.8
Chris McCullough,360,1471382,King's College,CHI,PF,22,19,15.8,0.1,0.4,0.44,0.643,1.3,0.2
Raul Neto,361,1471382,St. Bonaventure University,MIL,PG,25,41,11.9,0.5,1.1,0.52,0.743,1.2,1.8
Pat Connaughton,362,1471382,Indiana University,ATL,SG,25,82,9.3,0.9,2.6,0.518,0.841,2,1.1
Richaun Holmes,363,1471382,University of Dayton,SAS,C,24,48,17.4,0.1,0.6,0.568,0.661,4.4,1.3
T.J. McConnell,364,1471382,Canisius College,OKC,PG,25,76,12.5,0.4,0.8,0.531,0.795,3,4
Josh Huestis,365,1471382,University of Minnesota,NYK,PF,26,69,5.4,0.5,1.7,0.42,0.3,2.3,0.3
Jordan Mickey,366,1471382,Princeton University,LAL,PF,23,23,10.6,0.1,0.7,0.488,0.684,3.5,0.4
Montrezl Harrell,367,1471382,University of Illinois at Urbana-Champaign,CHO,C,24,76,24.7,0,0.1,0.636,0.626,4,1
Joe Young,368,1471382,Western Kentucky University,BRK,PG,25,53,10.1,0.5,1.2,0.497,0.759,1.2,0.7
Kevon Looney,369,1471382,Georgetown University,BRK,C,21,66,14.8,0,0.1,0.583,0.545,3.3,0.6
Nikola Jokic,370,1471382,St. John's University,BRK,C,22,75,24.4,1.5,3.7,0.554,0.85,10.7,6.1
Salah Mejri,371,1471382,Western Kentucky University,BOS,C,31,61,17.8,0,0,0.642,0.576,4,0.6
Caleb Swanigan,372,1465920,University of Toledo,IND,PF,20,27,7.5,0,0.3,0.408,0.667,2,0.5
Furkan Korkmaz,373,1465920,University of Maryland Eastern Shore,HOU,SG,20,14,3.4,0.4,1.2,0.375,0.5,0.8,0.3
Willy Hernangomez,374,1435750,Purdue University,CHI,C,23,48,21.2,0.1,0.3,0.57,0.656,3.8,0.7
Kyle Kuzma,375,1423560,La Salle University,TOR,PF,22,77,14.2,2.1,5.6,0.527,0.707,6.3,1.8
Tony Bradley,376,1414920,University of Idaho,SAC,C,20,9,9.5,0,0.1,0.273,1,1.2,0.1
