Player,PayRnk,pay,college,team,pos,age,games,point,ThrP,ThrPA,eFG,FreeThrow,rebound,assist
Gorgui Dieng,79,14112360,University of Tennessee,MIN,C,28,79,14.7,0.2,0.8,0.504,0.775,4.6,0.9
Khris Middleton,80,14100000,Rice University,MIL,SF,26,82,17.4,1.8,5,0.524,0.884,5.2,4
Mason Plumlee,81,14041096,Mount Union College,DEN,C,27,74,16.9,0,0,0.601,0.458,5.4,1.9
Taj Gibson,82,14000000,University of Minnesota,MIN,PF,32,82,15.4,0.1,0.4,0.581,0.768,7.1,1.2
James Johnson,83,13954000,City College of New York,MIA,PF,30,73,15.8,0.8,2.5,0.55,0.698,4.9,3.8
Robin Lopez,84,13788500,Purdue University,CHI,C,29,64,14.7,0.1,0.2,0.533,0.756,4.5,1.9
J.R. Smith,85,13760000,University of Kentucky,CLE,SG,32,80,8.5,1.8,4.8,0.524,0.696,2.9,1.8
Marvin Williams,86,13168750,City College of New York,PHO,PF,31,78,13.9,1.6,3.9,0.57,0.829,4.7,1.2
Tyson Chandler,87,13000000,Marshall University,CHO,C,35,46,14.2,0,0,0.647,0.624,9.1,1.2
Michael Kidd-Gilchrist,88,13000000,Seton Hall University,PHO,SF,24,74,12.5,0,0,0.504,0.684,4.1,1
Eric Gordon,89,12943020,University of Minnesota,CHO,SG,29,69,15.2,3.2,8.8,0.54,0.809,2.5,2.2
Kenneth Faried,90,12921348,Washington & Jefferson College,HOU,PF,28,32,17.4,0,0,0.514,0.706,4.8,0.6
Marcin Gortat,91,12782609,Bemidji State University,DEN,C,33,82,14.7,0,0,0.518,0.675,7.6,1.8
Cody Zeller,92,12584270,Huntington University,WAS,C,25,33,15.9,0.1,0.1,0.551,0.718,5.4,0.9
Miles Plumlee,93,12500000,Georgetown University,CHO,C,29,55,10.6,0,0,0.583,0.45,4.1,0.8
Nikola Mirotic,94,12500000,University of Iowa,ATL,PF,26,55,18.7,2.5,6.5,0.546,0.818,7.4,1.5
Zach Randolph,95,12307692,College of the Holy Cross,NOP,PF,36,59,17.3,0.9,2.5,0.507,0.785,6.7,2.2
Nikola Vucevic,96,12250000,North Carolina State University,SAC,C,27,57,19.7,1.1,3.6,0.513,0.819,9.2,3.4
Solomon Hill,97,12236535,Loyola University of Chicago,ORL,SF,26,12,4.8,0.3,1.8,0.317,0.5,3,1.8
Wilson Chandler,98,12016854,Rice University,NOP,SF,30,74,11,1.2,3.3,0.515,0.772,5.4,2.1
Jeremy Lin,99,12000000,University of Illinois at Urbana-Champaign,DEN,PG,29,1,15.9,1,2,0.458,1,0,4
Kemba Walker,100,12000000,University of Notre Dame,BRK,PG,27,80,20.6,2.9,7.5,0.516,0.864,3.1,5.6
Derrick Favors,101,12000000,Indiana State University,CHO,C,26,77,18.8,0.2,0.8,0.573,0.651,7.2,1.3
Austin Rivers,102,11825000,University of Detroit Mercy,UTA,SG,25,61,12.6,2.2,5.9,0.508,0.642,2.4,4
Courtney Lee,103,11747890,University of Wyoming,LAC,SG,32,76,13,1.5,3.7,0.529,0.919,2.9,2.4
Jordan Clarkson,104,11562500,Bowling Green State University,NYK,SG,25,81,16.4,1.4,3.9,0.509,0.8,2.7,2.7
John Henson,105,11422536,Saint Mary's College of California,MIN,C,27,76,15.7,0,0.1,0.573,0.57,6.8,1.5
Dion Waiters,106,11000000,University of Wisconsin,CLE,SG,26,30,10.5,1.7,5.7,0.461,0.739,2.6,3.8
Amir Johnson,107,11000000,Yale University,MIL,C,30,74,14.8,0.1,0.4,0.558,0.612,4.5,1.6
Jamal Crawford,108,10942762,Dartmouth College,MIA,SG,37,80,13,1.3,3.9,0.485,0.903,1.2,2.3
Alec Burks,109,10845506,St. John's University,PHI,SG,26,64,13.1,0.7,2.2,0.467,0.863,3,1
Patty Mills,110,10714286,Eastern Kentucky University,ATL,PG,29,82,11.8,1.9,5,0.523,0.89,1.9,2.8
Kelly Olynyk,111,10607169,University of Wyoming,UTA,PF,26,76,17.8,1.4,3.7,0.58,0.77,5.7,2.7
Omer Asik,112,10595505,Indiana University,SAS,C,31,18,3.1,0,0,0.409,0.308,2.6,0.2
Terrence Ross,113,10500000,New York University,MIA,SG,26,24,9.9,1.3,3.9,0.476,0.75,3,1.6
Mirza Teletovic,114,10500000,Saint Louis University,CHI,PF,32,10,13.5,2.1,4.5,0.623,0,2.3,1
Bojan Bogdanovic,115,10500000,Seton Hall University,ORL,SF,28,80,13.9,1.9,4.8,0.565,0.868,3.4,1.5
Jon Leuer,116,10497319,Georgetown University,MIL,PF,28,8,8.9,0,0.4,0.417,0.867,4,0.6
Iman Shumpert,117,10337079,Oregon State University,IND,SG,27,14,6.4,0.5,1.9,0.44,0.733,2.9,1.2
Maurice Harkless,118,10162922,University of Texas at Austin,DET,SF,24,59,12.6,0.8,2,0.577,0.712,2.7,0.9
Jared Dudley,119,10000000,Utah State University,SAC,PF,32,48,8.8,0.6,1.7,0.512,0.771,2,1.6
Darren Collison,120,10000000,Michigan State University,POR,PG,30,69,18.8,1.4,3,0.571,0.882,2.6,5.3
Danny Green,121,10000000,Seton Hall University,PHO,SG,30,70,11.4,1.7,4.6,0.49,0.769,3.6,1.6
Meyers Leonard,122,9904495,St. John's University,IND,C,25,33,17.8,0.3,0.8,0.66,0.818,2.1,0.5
Tony Snell,123,9821429,University of North Carolina,SAS,SG,26,75,8.5,1.4,3.6,0.562,0.792,1.9,1.3
Al Jefferson,124,9769821,Xavier University,POR,C,33,36,20.2,0,0.1,0.534,0.833,4,0.8
Matthew Dellavedova,125,9607500,University of Tennessee,MIL,PG,27,38,8.6,0.8,2.1,0.457,0.926,1.7,3.8
Joe Johnson,126,9505000,University of Illinois at Urbana-Champaign,IND,SF,36,55,8.1,0.7,2.6,0.461,0.889,3.1,1.5
Bogdan Bogdanovic,127,9470614,Georgetown University,MIL,SG,25,78,13.5,1.7,4.2,0.529,0.84,2.9,3.3
Andre Roberson,128,9259259,DePaul University,SAC,SG,26,39,10.9,0.2,0.9,0.562,0.316,4.7,1.2
Trevor Booker,129,9125000,DePaul University,SAC,PF,30,68,14.9,0.1,0.5,0.528,0.71,4.7,1.2
Dwight Powell,130,9003125,Hamline University,OKC,C,26,79,18.8,0.4,1.1,0.626,0.719,5.6,1.2
Jerryd Bayless,131,9000000,Western Illinois University,PHI,SG,29,39,7.5,1.4,3.7,0.519,0.795,2.1,1.4
Avery Bradley,132,8808989,Sam Houston State University,DAL,SG,27,46,9.6,1.6,4.4,0.474,0.768,2.5,2
JaMychal Green,133,8533333,Youngstown State University,PHI,PF,27,55,14,0.8,2.3,0.501,0.721,8.4,1.4
E'Twaun Moore,134,8445024,Northwestern University,LAC,SG,28,82,12.1,1.6,3.7,0.585,0.706,2.9,2.3
Rudy Gay,135,8406000,College of the Holy Cross,MEM,PF,31,57,18,0.6,2.1,0.506,0.772,5.1,1.3
Kosta Koufos,136,8393000,Loyola University of Chicago,NOP,C,28,71,17.5,0,0,0.571,0.446,6.6,1.2
Markieff Morris,137,8000000,University of Washington,SAS,PF,28,73,13.2,1,2.8,0.536,0.82,5.6,1.9
Garrett Temple,138,8000000,University of Notre Dame,SAC,SG,31,65,10.2,1.4,3.5,0.512,0.769,2.3,1.9
Vince Carter,139,8000000,University of Kentucky,WAS,SF,41,58,10.8,1,2.8,0.504,0.757,2.6,1.2
C.J. Miles,140,7936509,Georgia Institute of Technology,SAC,SF,30,70,13,2.3,6.5,0.516,0.835,2.2,0.8
Cristiano Felicio,141,7843500,Hamline University,SAC,C,25,55,12.5,0,0,0.591,0.667,4.2,1
Shaun Livingston,142,7692308,University of Wyoming,TOR,PG,32,71,11.6,0,0.1,0.501,0.82,1.8,2
Cory Joseph,143,7630000,Loyola University of Chicago,CHI,PG,26,82,11,0.8,2.3,0.479,0.745,3.2,3.2
P.J. Tucker,144,7590035,College of the Holy Cross,GSW,PF,32,82,8.3,1.4,3.8,0.52,0.717,5.6,0.9
Corey Brewer,145,7579366,Loyola College in Maryland,IND,SF-SG,31,72,11.2,0.4,1.5,0.498,0.722,2.1,0.9
Andrew Wiggins,146,7574322,Santa Clara University,HOU,SF,22,82,13,1.4,4.1,0.481,0.643,4.4,2
Darrell Arthur,147,7464912,Western Kentucky University,LAL,PF,29,19,8.4,0.4,1.2,0.553,0.667,0.8,0.5
Channing Frye,148,7420912,Drake University,MIN,C,34,53,13.1,0.7,2.2,0.583,0.895,2.5,0.7
Trevor Ariza,149,7420912,Beloit College,DEN,SF,32,67,11.8,2.5,6.9,0.542,0.854,4.4,1.6
Al-Farouq Aminu,150,7319035,Bowling Green State University,LAL,PF,27,69,12,1.8,4.9,0.503,0.738,7.6,1.2
Cole Aldrich,151,7300000,Bowling Green State University,HOU,C,29,21,6,0,0,0.333,0.333,0.7,0.1
D.J. Augustin,152,7250000,Baylor University,POR,PG,30,75,15.4,1.5,3.6,0.557,0.868,2.1,3.8
Markelle Fultz,153,7026240,Texas Wesleyan University,MIN,SG,19,14,12.4,0,0.1,0.405,0.476,3.1,3.8
Lou Williams,154,7000000,University of Kentucky,ORL,SG,31,79,20.2,2.4,6.6,0.505,0.88,2.5,5.3
Kyle Korver,155,7000000,Western Kentucky University,PHI,SG,36,73,13.4,2.2,5.2,0.628,0.889,2.3,1.2
Jeremy Lamb,156,7000000,University of Illinois at Urbana-Champaign,LAC,SG,25,80,17,1.2,3.2,0.513,0.861,4.1,2.3
Boban Marjanovic,157,7000000,Bowling Green State University,CLE,C,29,39,26,0,0,0.534,0.794,3.7,0.6
Jae Crowder,158,6796117,Tulane University,CHO,SF,27,80,10.4,1.4,4.3,0.486,0.818,3.4,1.2
Jabari Parker,159,6782392,Cornell University,LAC,PF,22,31,17.1,1,2.6,0.529,0.741,4.9,1.9
Langston Galloway,160,6666667,DePaul University,UTA,SG,26,58,12.2,1.3,3.8,0.481,0.805,1.6,1
Lance Thomas,161,6655325,University of Illinois at Urbana-Champaign,MIL,PF,29,73,6.3,0.7,1.7,0.476,0.83,2.4,0.6
Ed Davis,162,6352531,Stanford University,DET,C,28,78,15.5,0,0,0.582,0.667,7.4,0.5
Marco Belinelli,163,6306060,Drake University,NYK,SG,31,80,14.1,1.9,4.9,0.539,0.908,1.9,1.9
Jonathon Simmons,164,6300000,Ohio State University,POR,SG,28,69,12.7,1,3,0.511,0.768,3.5,2.5
Lonzo Ball,165,6286560,Georgetown University,ATL,PG,20,52,12.5,1.7,5.7,0.44,0.451,6.9,7.2
Wayne Ellington,166,6270000,Georgetown University,ORL,SG,30,77,12.5,2.9,7.5,0.569,0.859,2.8,1
Isaiah Thomas,167,6261395,Western Kentucky University,LAL,PG,28,32,12.6,1.7,5.9,0.438,0.893,2.1,4.8
Karl-Anthony Towns,168,6216840,New York University,MIA,C,22,82,24.9,1.5,3.5,0.596,0.858,12.3,2.4
Ben Simmons,169,6168840,Ohio State University,LAL,PG,21,81,20,0,0.1,0.545,0.56,8.1,8.2
Joel Embiid,170,6100266,Eastern Kentucky University,MIN,C,23,63,22.9,1,3.4,0.514,0.769,11,3.2
Josh McRoberts,171,6021175,University of Wyoming,PHI,PF,30,2,-12.5,0,0.5,0,0,0,0
Ish Smith,172,6000000,Oregon State University,PHI,PG,29,82,15.4,0.4,1.2,0.507,0.698,2.7,4.4
Alan Williams,173,6000000,University of Kentucky,MIL,PF,25,5,9.3,0,0,0.389,0.667,4.4,1.6
Shelvin Mack,174,6000000,Indiana State University,DAL,PG,27,69,13.3,0.7,2,0.488,0.711,2.4,3.9
Milos Teodosic,175,6000000,Temple University,DET,PG,30,45,11.6,2,5.2,0.542,0.848,2.8,4.6
Ersan Ilyasova,176,6000000,Seton Hall University,PHO,PF,30,69,14.9,1.3,3.7,0.526,0.778,5.9,1.3
Dewayne Dedmon,177,6000000,University of Wyoming,ORL,C,28,62,15.8,0.8,2.3,0.577,0.779,7.9,1.5
Tyler Johnson,178,5881260,Seton Hall University,LAC,PG,25,72,13,1.7,4.5,0.518,0.822,3.4,2.3
Wesley Johnson,179,5881260,Indiana University,ATL,SF,30,74,9.8,0.8,2.4,0.489,0.741,2.9,0.8
Alex Abrines,180,5725000,Saint Louis University,ATL,SG,24,75,9,1.1,2.9,0.54,0.848,1.5,0.4
Jayson Tatum,181,5645400,West Virginia University,MIA,SF,19,80,15.3,1.3,3,0.538,0.826,5,1.6
D'Angelo Russell,182,5562360,New York University,LAC,PG,21,48,15.2,1.9,5.8,0.481,0.74,3.9,5.2
Brandon Ingram,183,5519400,Valparaiso University,OKC,SF,20,59,13.8,0.7,1.8,0.497,0.681,5.3,3.9
Patrick Beverley,184,5513514,Hamline University,BOS,SG,29,11,12.3,2.2,5.5,0.504,0.824,4.1,2.9
Aaron Gordon,185,5504420,University of Wisconsin,BRK,PF,22,58,16.5,2,5.9,0.5,0.698,7.9,2.3
Josh Smith,186,5400000,University of San Francisco,LAL,PF,32,3,3.5,0,0,0.25,0,1.3,0
Thabo Sefolosha,187,5250000,Northern Arizona University,LAC,SF,33,38,15.8,0.8,2.2,0.558,0.815,4.2,0.9
Jason Smith,188,5225000,University of Wisconsin,ORL,C,31,33,8.8,0.1,1,0.409,0.905,1.6,0.4
Ben McLemore,189,5200000,Hamline University,BRK,SG,24,56,9.7,1,2.8,0.495,0.828,2.5,0.9
Patrick Patterson,190,5192000,University of Southern California,DET,PF,28,82,10,0.8,2.1,0.523,0.87,2.4,0.7
Nick Young,191,5192000,Saint Joseph's University,UTA,SG,32,80,10,1.5,4.1,0.538,0.862,1.6,0.5
Brandan Wright,192,5179760,University of Toledo,WAS,PF,30,28,19,0,0,0.578,0.636,3.4,0.5
Josh Jackson,193,5090040,University of Alabama,MEM,SF,20,77,11.8,0.7,2.8,0.448,0.634,4.6,1.5
Marcus Morris,194,5000000,Kansas State University,OKC,PF,28,54,14.5,1.6,4.3,0.499,0.805,5.4,1.3
Dirk Nowitzki,195,5000000,Catholic University of America,GSW,C,39,77,16.7,1.8,4.4,0.547,0.898,5.7,1.6
Mike Muscala,196,5000000,Georgetown University,MEM,C,26,53,14.4,1.2,3.2,0.558,0.919,4.3,1
Jahlil Okafor,197,4995120,Appalachian State University,PHO,C,22,28,15.3,0,0.1,0.562,0.724,3,0.4
Dante Exum,198,4992385,University of Illinois at Urbana-Champaign,BOS,PG,22,14,16.7,0.4,1.3,0.511,0.806,1.9,3.1
Jaylen Brown,199,4956480,University of Notre Dame,DAL,SG,21,70,13.6,1.7,4.4,0.54,0.644,4.9,1.6
Jameer Nelson,200,4736050,Western Kentucky University,BOS,PG,35,50,8.1,0.8,2.5,0.473,0.8,2.1,3.6
Kyle Singler,201,4666500,Villanova University,ATL,SF,29,12,5.9,0.2,0.4,0.381,0.538,0.8,0.2
Justin Holiday,202,4615385,Georgetown University,BRK,SG,28,72,10.8,2.2,6.2,0.474,0.823,4,2.1
De'Aaron Fox,203,4609200,DePaul University,UTA,PG,20,73,11.2,0.6,2.1,0.441,0.723,2.8,4.4
Marcus Smart,204,4538020,University of Wyoming,NOP,SG,23,54,10.8,1.4,4.6,0.44,0.729,3.5,4.8
Kristaps Porzingis,205,4503600,University of the Pacific,BOS,PF,22,48,20.4,1.9,4.8,0.489,0.793,6.6,1.2
Dragan Bender,206,4468800,St. John's University,DEN,PF,20,82,7.1,1.4,3.9,0.508,0.765,4.4,1.6
Devin Harris,207,4402546,Western Kentucky University,OKC,PG,34,71,13,1.1,3.2,0.499,0.835,1.8,2.1
Ron Baker,208,4328000,DePaul University,CHI,SG,24,29,9.3,0.4,1.1,0.432,0.769,1,1.6
Aron Baynes,209,4328000,Georgetown University,SAC,C,31,81,12.1,0,0.3,0.474,0.756,5.4,1.1
Alex Len,210,4187599,University of Illinois at Urbana-Champaign,BOS,C,24,69,19.4,0,0,0.567,0.684,7.5,1.2
Nerlens Noel,211,4187599,Colgate University,NYK,C,23,30,16.2,0,0,0.524,0.75,5.6,0.7
Jonathan Isaac,212,4186320,University of Wyoming,PHO,PF,20,27,9.8,0.6,1.7,0.434,0.76,3.7,0.7
Lance Stephenson,213,4180000,Georgetown University,DEN,SG,27,82,12.4,0.8,2.8,0.475,0.661,5.2,2.9
Julius Randle,214,4149242,Saint Mary's University of Minnesota,NYK,C,23,82,19.9,0.1,0.5,0.563,0.718,8,2.6
Kyle O'Quinn,215,4087500,University of Texas at Austin,MIN,C,27,77,20,0.1,0.2,0.589,0.772,6.1,2.1
Mario Hezonja,216,4078320,Brigham Young University,BOS,SF,22,75,13.7,1.2,3.6,0.515,0.819,3.7,1.4
Kris Dunn,217,4046760,University of Tennessee,PHO,PG,23,52,14.5,0.8,2.6,0.462,0.737,4.3,6
Jonas Jerebko,218,4000000,Seton Hall University,DAL,PF,30,74,13.2,0.9,2.1,0.562,0.807,3.3,0.6
Nemanja Bjelica,219,3949999,University of Iowa,ORL,PF,29,67,12.6,1.1,2.7,0.563,0.8,4.1,1.3
J.J. Barea,220,3903900,Georgetown University,IND,PG,33,69,17.8,1.7,4.5,0.522,0.784,2.9,6.3
Quincy Pondexter,221,3853931,Northern Illinois University,LAL,SF,29,23,4,0.1,1,0.316,0.824,1.2,0.4
Lauri Markkanen,222,3821640,St. John's University,NYK,PF,20,68,15.6,2.1,5.9,0.518,0.843,7.5,1.2
Nik Stauskas,223,3807146,nan,ORL,SG,24,41,9,1,2.4,0.519,0.724,1.6,1
Willie Cauley-Stein,224,3704160,Villanova University,CHI,C,24,73,17.6,0,0.2,0.504,0.619,7,2.4
Buddy Hield,225,3675480,West Virginia University,UTA,SG,24,80,16.1,2.2,5.1,0.54,0.877,3.8,1.9
Will Barton,226,3533333,University of Arizona,MIN,SG,27,81,16.2,1.9,5.2,0.528,0.805,5,4.1
Noah Vonleh,227,3505233,Temple University,DAL,PF,22,54,12.8,0.4,1.2,0.487,0.621,5.8,0.6
Frank Ntilikina,228,3501120,University of Tennessee,CHI,PG,19,78,7,0.6,2,0.414,0.721,2.3,3.2
Nene Hilario,229,3477600,St. John's University,CHI,C,35,52,16.4,0,0,0.569,0.636,3.4,0.9
Zaza Pachulia,230,3477600,University of Toledo,BRK,C,33,69,17,0,0,0.564,0.806,4.7,1.6
Troy Daniels,231,3408520,Xavier University of Louisiana,SAC,SG,26,79,9.8,2.3,5.8,0.563,0.875,1.6,0.6
Emmanuel Mudiay,232,3381480,Duquesne University,SAC,PG,21,64,11.5,0.7,2.3,0.433,0.76,2.4,3.2
Jamal Murray,233,3355320,College of the Holy Cross,DEN,PG,20,81,16.1,2,5.4,0.529,0.905,3.7,3.4
Elfrid Payton,234,3332340,Clark Atlanta University,CHI,PG,23,63,16.5,0.5,1.5,0.516,0.649,4.3,6.2
Rajon Rondo,235,3300000,Ohio State University,NYK,PG,31,65,15.3,0.8,2.3,0.518,0.543,4,8.2
Doug McDermott,236,3294994,West Texas A&M University,HOU,SF,26,81,10.4,1.1,2.7,0.557,0.79,2.5,1
Jodie Meeks,237,3290000,La Salle University,GSW,SG,30,77,12.4,0.9,2.7,0.491,0.863,1.6,0.9
Tyreke Evans,238,3290000,Washington State University,PHO,PG,28,52,21.1,2.2,5.5,0.523,0.785,5.1,5.2
Tarik Black,239,3290000,Hamline University,NYK,C,26,51,14.3,0,0.2,0.594,0.46,3.2,0.3
Anthony Tolliver,240,3290000,Western Kentucky University,DEN,PF,32,79,13.9,2,4.6,0.632,0.797,3.1,1.1
Dennis Smith,241,3218280,West Virginia State University,PHO,PG,20,69,12.8,1.5,4.9,0.446,0.694,3.8,5.2
Zach LaVine,242,3202217,University of San Francisco,NOP,SG,22,24,14.6,1.8,5.1,0.442,0.813,3.9,3
Ekpe Udoh,243,3200000,City College of New York,DAL,C,30,63,15.2,0,0,0.5,0.75,2.4,0.8
T.J. Warren,244,3152931,University of San Francisco,WAS,SF,24,65,17.6,0.3,1.4,0.507,0.757,5.1,1.3
Stanley Johnson,245,3097800,Eastern Kentucky University,MEM,SF,21,69,9,1,3.4,0.435,0.772,3.7,1.6
Marquese Chriss,246,3073800,St. Bonaventure University,HOU,PF,20,72,11.1,0.8,2.6,0.482,0.608,5.5,1.2
Zach Collins,247,3057240,Georgetown University,DET,C,20,66,7.5,0.5,1.7,0.458,0.643,3.3,0.8
James Ennis,248,3028410,University of Notre Dame,DAL,SF,27,72,11.6,0.7,2.1,0.54,0.836,3.1,1
Mindaugas Kuzminskas,249,3025035,University of Wisconsin,CHI,SF,28,1,-41.1,0,0,0,0,0,0
Tomas Satoransky,250,3000000,Tulane University,UTA,SG,26,73,15.4,0.6,1.4,0.585,0.781,3.2,3.9
Lucas Nogueira,251,2947305,"University of California, Los Angeles",PHO,C,25,49,17.3,0.1,0.4,0.644,0.679,1.8,0.4
Jusuf Nurkic,252,2947305,Long Island University,DET,C,23,79,19.2,0,0.1,0.505,0.63,9,1.8
Malik Monk,253,2904480,Ohio State University,PHO,SG,19,63,10.3,1.3,3.9,0.458,0.842,1,1.4
Frank Kaminsky,254,2847600,University of Southern California,POR,PF,24,79,14.4,1.3,3.5,0.501,0.799,3.6,1.6
Jakob Poeltl,255,2825640,"University of California, Los Angeles",DET,C,22,82,17.5,0,0,0.66,0.594,4.8,0.7
Luke Kennard,256,2759280,Bradley University,DAL,SG,21,73,12.1,1.1,2.7,0.53,0.855,2.4,1.7
Justise Winslow,257,2705040,Georgetown University,NYK,PF,21,68,11.5,0.7,1.9,0.474,0.635,5.4,2.2
Michael Carter-Williams,258,2700000,Duquesne University,WAS,PG,26,52,10.8,0.3,1.1,0.362,0.82,2.7,2.2
Thon Maker,259,2684160,University of Wisconsin-River Falls,CHI,C,20,74,10.2,0.4,1.4,0.46,0.699,3,0.6
Cedi Osman,260,2642857,North Carolina State University,TOR,SF,22,61,11,0.5,1.4,0.57,0.565,2,0.7
Donovan Mitchell,261,2621280,Northwestern University,POR,SG,21,79,16.7,2.4,7,0.506,0.805,3.7,3.7
Myles Turner,262,2569920,University of Missouri,CHO,C,21,65,16.6,0.9,2.4,0.523,0.777,6.4,1.3
Gary Harris,263,2550055,Kansas State University,CHO,SG,23,67,16.5,2.3,5.9,0.57,0.827,2.6,2.9
Domantas Sabonis,264,2550000,Brigham Young University,POR,C,21,74,17.5,0.2,0.5,0.524,0.75,7.7,2
Manu Ginobili,265,2500000,Ohio State University,TOR,SG,40,65,12.9,1,3,0.503,0.84,2.2,2.5
Reggie Bullock,266,2500000,Syracuse University,DET,SF,26,62,13.6,2,4.5,0.603,0.796,2.5,1.5
Richard Jefferson,267,2500000,University of Charleston,MIA,SF,37,20,6.4,0.1,0.4,0.481,0.571,0.9,0.8
Malcolm Delaney,268,2500000,Northwestern State University,CHO,PG,28,54,10.6,0.9,2.3,0.463,0.804,1.9,3
Bam Adebayo,269,2490360,St. John's University,MIL,C,20,69,15.7,0,0.1,0.512,0.721,5.5,1.5
Bruno Caboclo,270,2451225,"University of California, Los Angeles",CLE,SF,22,12,7.7,0.3,1.4,0.339,0.833,1.8,0.3
Trey Lyles,271,2441400,Butler University,UTA,PF,22,73,17.9,1.1,3,0.566,0.706,4.8,1.2
Dario Saric,272,2422560,University of Illinois at Urbana-Champaign,IND,PF,23,78,15.8,2,5.1,0.541,0.86,6.7,2.6
Taurean Waller-Prince,273,2422560,Tulane University,DEN,SF,23,82,12.8,2.1,5.6,0.516,0.844,4.7,2.6
Rodney Hood,274,2386864,University of Wyoming,IND,SG,25,60,14.3,2.1,5.6,0.513,0.86,2.8,1.6
Justin Jackson,275,2365560,Northwestern University,SAS,SF,22,68,9.2,0.8,2.7,0.51,0.722,2.8,1.1
Shabazz Napier,276,2361360,North Carolina State University,DET,PG,26,74,14.2,1.1,2.9,0.497,0.841,2.3,2
Clint Capela,277,2334520,Drake University,ATL,C,23,74,24.5,0,0,0.652,0.56,10.8,0.9
Arron Afflalo,278,2328652,LeMoyne College,ATL,SG,32,53,5.8,0.5,1.3,0.485,0.846,1.2,0.6
Raymond Felton,279,2328652,Bowling Green State University,MIA,PG,33,82,13,1,2.8,0.479,0.818,1.9,2.5
Nick Collison,280,2328652,Niagara University,SAC,PF,37,15,13.2,0,0,0.684,0.385,1.3,0.3
Ramon Sessions,281,2328652,University of Minnesota,OKC,PG,31,28,11.2,0.3,0.9,0.393,0.772,1.4,2.8
Jarrett Jack,282,2328652,University of South Carolina,DEN,PG,34,62,11.5,0.4,1.4,0.455,0.84,3.1,5.6
Jason Terry,283,2328652,Indiana University,PHI,SG,40,51,8.1,0.8,2.3,0.513,0.889,0.9,1.2
Udonis Haslem,284,2328652,West Virginia State University,ATL,C,37,14,1.8,0.1,0.6,0.233,0.5,0.7,0.4
David West,285,2328652,Eastern Kentucky University,CLE,C,37,73,20.9,0,0.1,0.575,0.759,3.3,1.9
Jose Calderon,286,2328652,New York University,SAC,PG,36,57,11.3,0.8,1.7,0.624,0.8,1.5,2.1
Andrew Bogut,287,2328652,New York University,POR,C,33,23,10.9,0,0,0.68,1,3.4,0.7
Devin Booker,288,2319360,Washington State University,HOU,SG,21,54,18.1,2.7,7.1,0.501,0.878,4.5,4.7
Georgios Papagiannis,289,2301360,Oklahoma State University,ORL,C,20,17,12.2,0,0,0.429,0,2.2,0.5
Dante Cunningham,290,2300000,Lawrence Technological University,OKC,SF,30,73,10,0.8,2.3,0.53,0.596,4.1,0.7
Justin Patton,291,2247480,St. John's University,OKC,C,20,1,19.8,0,0,0.5,0,0,0
Guerschon Yabusele,292,2247480,Duke University,NYK,PF,22,33,12.3,0.4,1.1,0.525,0.682,1.6,0.5
Cameron Payne,293,2203440,Loyola University of Chicago,NYK,PG,23,25,14,1.4,3.6,0.486,0.75,2.8,4.5
Denzel Valentine,294,2186400,University of California,MIL,SG,24,77,12.1,1.9,4.8,0.517,0.745,5.1,3.2
Kyle Anderson,295,2151704,University of Cincinnati,MIA,SF,24,74,15.9,0.3,0.8,0.549,0.712,5.4,2.7
D.J. Wilson,296,2135040,University of Louisville,MIA,PF,21,22,10.3,0.1,0.2,0.625,0.5,0.5,0.1
Derrick Rose,297,2116955,Brown University,GSW,PG,29,25,11.5,0.3,1.2,0.454,0.87,1.4,1.5
Marreese Speights,298,2116955,Canisius College,DEN,C,30,52,13.7,1.7,4.5,0.519,0.727,2.6,0.8
